"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.567487750E0,-4.282797500E-2,2.728825510E-1,2.862082124E-1
2.577525750E0,-2.317516878E-2,1.532195210E-1,2.672225833E-1
2.587562750E0,4.809767753E-2,4.286266118E-2,2.493921816E-1
2.597600750E0,1.030196473E-1,5.283818766E-2,2.252006084E-1
2.607638750E0,8.311784267E-2,8.760654926E-2,2.416690737E-1
2.617676750E0,4.447271302E-2,6.011313945E-2,2.766114473E-1
2.627713750E0,3.333111480E-2,2.441053465E-2,2.287408710E-1
2.637751750E0,7.541932166E-2,1.440093759E-2,2.990006506E-1
2.647789750E0,1.532375999E-2,4.933148995E-2,3.690881431E-1
2.657826750E0,-4.890862852E-2,1.267118901E-1,4.254897833E-1
2.667864750E0,-8.341759443E-3,1.504060328E-1,4.965378642E-1
2.677902750E0,-2.825676091E-2,1.508804411E-1,5.649240613E-1
2.687939750E0,6.749959197E-3,5.504152179E-2,5.443112254E-1
2.697977750E0,-1.512565557E-2,3.976254165E-2,5.615673065E-1
2.708015750E0,-9.635978937E-2,-7.037450559E-3,6.370982528E-1
2.718053750E0,-2.486325204E-1,1.520039514E-2,6.508916616E-1
2.728090750E0,-1.983019710E-1,5.801070854E-2,6.742108464E-1
2.738128750E0,-1.052174270E-1,-8.618749678E-3,7.446386814E-1
2.748166750E0,5.783389788E-3,-2.814051695E-2,7.221980691E-1
2.758203750E0,2.801970765E-2,5.961274356E-2,7.238798141E-1
2.768241750E0,1.176217478E-2,5.538577214E-2,7.593086362E-1
2.778279750E0,-3.037463129E-2,6.941369176E-2,7.163226604E-1
2.788316750E0,6.401524693E-2,3.883634135E-2,7.367908955E-1
2.798354750E0,1.309688240E-1,1.127673611E-1,7.438453436E-1
2.808392750E0,5.588979274E-2,1.154486313E-1,7.629008293E-1
2.818429750E0,7.724154275E-3,7.130441070E-2,7.280005813E-1
2.828467750E0,-1.229893863E-1,4.617082700E-2,7.510102987E-1
2.838505750E0,-2.373385876E-1,1.063169912E-1,7.479979396E-1
2.848543750E0,-1.164649054E-1,2.002549320E-1,6.979646087E-1
2.858580750E0,4.514902830E-2,1.219058186E-1,7.955385447E-1
2.868618750E0,6.340979785E-2,3.976167738E-2,7.169364095E-1
2.878656750E0,-1.013434492E-2,1.877115518E-1,6.380714774E-1
2.888693750E0,-9.807299078E-2,1.995463818E-1,9.086869955E-1
2.898731750E0,-1.816413850E-1,2.272762656E-1,7.240831256E-1
2.908769750E0,-7.646676898E-2,1.329289973E-1,7.750544548E-1
2.918806750E0,1.197064891E-1,-2.470905334E-2,7.858321071E-1
2.928844750E0,1.818550825E-1,1.677660272E-2,6.476098299E-1
2.938882750E0,1.205631718E-2,8.308943361E-2,7.856827378E-1
2.948920750E0,-1.009378806E-1,2.177993059E-1,7.574183941E-1
2.958957750E0,2.395804226E-1,3.721258938E-1,8.507806063E-1
2.968995750E0,9.456437081E-2,1.024153084E-1,9.873903394E-1
2.979033750E0,-2.171433121E-1,-5.947471261E-1,2.887976170E-1
2.989070750E0,-2.985087633E-1,-1.448036581E-1,7.283709198E-2
2.999108750E0,3.112824559E-1,9.970147014E-1,4.944068789E-1
3.009146750E0,5.742599964E-1,9.973851442E-1,5.793486238E-1
3.019183750E0,-4.368671030E-2,-2.247308642E-1,3.550030291E-1
3.029221750E0,-5.789623857E-1,-1.132766843E0,-2.085901797E-2
3.039259750E0,-3.077810705E-1,-7.335833311E-1,-9.197522700E-2
3.049296750E0,4.176030159E-1,6.837792397E-1,3.379077017E-1
3.059334750E0,5.968996286E-1,1.588833094E0,8.185140491E-1
3.069372750E0,1.118456274E-1,1.249312043E0,6.345630884E-1
3.079410750E0,-3.506019115E-1,1.495822966E-1,2.340599746E-1
3.089447750E0,-2.908965051E-1,-4.302437901E-1,-1.281507164E-1
3.099485750E0,1.172864512E-1,-1.191091016E-1,8.673985302E-2
3.109523750E0,3.520489037E-1,4.344086647E-1,2.424943000E-1
3.119560750E0,1.233694032E-1,4.415691495E-1,2.006172687E-1
3.129598750E0,-2.391512692E-1,1.042518541E-1,5.904521793E-2
3.139636750E0,-2.467627227E-1,-1.386653632E-1,1.009988785E-2
3.149673750E0,-1.708533056E-2,-1.289083362E-1,3.482201323E-2
3.159711750E0,2.623271346E-1,-1.083391607E-1,-1.224121377E-1
3.169749750E0,1.639214605E-1,2.046067566E-1,-3.415605053E-2
3.179786750E0,-2.147021517E-2,3.891598582E-1,1.765266210E-1
3.189824750E0,-2.072256953E-1,4.796370268E-1,4.849515110E-2
3.199862750E0,-3.201622516E-2,9.631156921E-2,1.341526955E-1
3.209900750E0,1.754876971E-1,-1.288573593E-1,-7.178422064E-2
3.219937750E0,1.082519442E-1,8.499874920E-2,-9.380066395E-2
3.229975750E0,-1.370142698E-1,4.358587861E-1,1.354485005E-1
3.240013750E0,-1.495786458E-1,5.567808747E-1,7.224980742E-2
3.250050750E0,7.692853361E-2,7.335533202E-2,2.339864522E-2
3.260088750E0,1.863348931E-1,-1.450148672E-1,-1.762296632E-2
3.270126750E0,4.465819150E-2,1.055510342E-1,3.842458874E-2
3.280163750E0,-2.748616412E-2,3.547444940E-1,2.889695764E-1
3.290201750E0,1.253720820E-1,3.723005950E-1,2.273427099E-1
3.300239750E0,1.567303985E-1,2.223460972E-1,2.100418806E-1
3.310276750E0,-5.410859734E-2,1.459296197E-1,3.283725083E-1
3.320314750E0,-2.058887929E-1,1.533231288E-1,3.068341613E-1
