"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.650711185E2,8.713380432E-1,2.145189056E0,8.928483124E0
1.650811555E2,1.273252258E0,5.405259705E0,8.171956329E0
1.650911925E2,-4.288581848E-1,3.832330627E0,1.108579697E1
1.651012295E2,-2.211351471E0,-7.575746155E-1,1.154534134E1
1.651112665E2,-5.436694336E-1,-1.038091278E0,7.220385132E0
1.651213035E2,2.225571899E0,3.728596344E0,7.108417969E0
1.651313405E2,2.027833099E0,6.372398529E0,1.143292511E1
1.651413775E2,-8.366102600E-1,2.281256104E0,1.378049332E1
1.651514145E2,-1.704954529E0,-3.706143036E0,1.414348846E1
1.651614515E2,-2.517764282E-1,-1.948049011E0,1.218211716E1
1.651714885E2,9.397457886E-1,7.059469757E0,6.014792175E0
1.651815255E2,2.939886475E-1,1.097996704E1,2.806513824E0
1.651915625E2,-1.208437042E0,5.829178162E0,7.407046967E0
1.652015995E2,-1.259780273E0,-1.634600830E0,1.194515991E1
1.652116365E2,-8.601113892E-1,-2.284848633E0,1.094823303E1
1.652216735E2,-2.805166626E-1,2.964585114E0,9.526339874E0
1.652317105E2,-4.851411438E-1,6.616540833E0,1.029409332E1
1.652417475E2,-9.577084351E-1,4.469106445E0,9.883796539E0
1.652517845E2,-6.442602539E-1,2.948867798E-1,1.060484711E1
1.652618215E2,6.001020813E-1,1.180295563E0,8.260122986E0
1.652718585E2,2.300715637E-1,4.579576721E0,7.658973083E0
1.652818955E2,-9.355545044E-1,3.828289032E0,1.107861191E1
1.652919325E2,-1.173709259E0,7.876620483E-1,1.118025055E1
1.653019705E2,1.654060364E-1,1.015637970E0,8.308472443E0
1.653120075E2,1.653311920E0,4.209995270E0,7.660619659E0
1.653220445E2,1.190624084E0,5.126389618E0,9.179960175E0
1.653320815E2,-4.637356567E-1,2.077978821E0,1.012314880E1
1.653421185E2,-6.150709534E-1,1.800755310E-1,9.178313599E0
1.653521555E2,1.314716034E0,3.771107941E0,7.271728363E0
1.653621925E2,2.123633881E0,6.387666779E0,9.358538818E0
1.653722295E2,9.834548950E-2,2.713557129E0,1.137230118E1
1.653822665E2,-1.451830902E0,-3.795956268E0,1.319191727E1
1.653923035E2,-5.444178772E-1,-3.052003326E0,1.210847031E1
1.654023405E2,6.499484253E-1,6.100414124E0,7.490273895E0
1.654123775E2,7.667056274E-1,1.031998947E1,4.832400970E0
1.654224145E2,-2.776725769E-1,4.465813293E0,8.829688568E0
1.654324515E2,-1.159788208E0,-4.531826019E0,1.508473114E1
1.654424885E2,2.598596191E-1,-4.929399261E0,1.438254135E1
1.654525255E2,7.607180786E-1,4.326153717E0,1.023736130E1
1.654625625E2,-6.795867920E-2,1.029559021E1,7.904761963E0
1.654725995E2,-4.366419983E-1,5.738317108E0,6.084247742E0
1.654826365E2,-8.062234497E-1,-2.335443420E0,9.982591095E0
1.654926735E2,5.954617310E-1,-4.193529510E0,1.145582748E1
1.655027105E2,6.194119263E-1,3.074606323E0,1.064331711E1
1.655127475E2,-8.945397949E-1,8.176596680E0,8.954678650E0
1.655227845E2,-1.336420898E0,4.461921387E0,8.483308868E0
1.655328215E2,-4.161346436E-1,-6.050418091E-1,9.320068817E0
1.655428585E2,2.537373505E0,8.592132568E-1,6.399192810E0
1.655528955E2,2.790646820E0,7.755372620E0,2.674338684E0
1.655629325E2,1.553918610E0,5.419779510E0,9.332942047E0
1.655729695E2,-7.774832153E-1,-4.834496613E0,2.352253464E1
1.655830065E2,-2.991529083E0,-5.740263062E0,1.959949265E1
1.655930435E2,-3.004252625E-1,6.948550415E0,7.203619995E0
1.656030805E2,1.727108459E0,1.450768112E1,1.002914429E-1
1.656131175E2,1.019529877E0,7.747888184E0,1.549128571E0
1.656231545E2,-2.273472290E0,-5.378465424E0,1.089898544E1
1.656331915E2,-4.256698151E0,-6.352190552E0,1.013138168E1
1.656432285E2,-5.472619629E-1,4.523293762E0,1.151330795E1
1.656532655E2,-2.275268555E-2,1.444391373E1,9.358389130E0
1.656633025E2,1.025218048E0,7.643106079E0,1.004725662E1
