"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.645013874E2,-2.644999695E-1,9.044192505E-1,1.181358353E1
3.645114284E2,-9.018745422E-1,2.999163208E0,1.182885178E1
3.645214684E2,-2.375559998E-1,5.803581390E0,9.999056854E0
3.645315084E2,1.230441284E-1,6.205794983E0,8.967102814E0
3.645415484E2,2.523751831E-1,3.969894562E0,9.132808228E0
3.645515884E2,6.521937561E-1,1.917213135E0,8.669222260E0
3.645616284E2,2.294728088E-1,2.653531952E0,9.212292938E0
3.645716684E2,-9.554631042E-1,4.818928986E0,9.473799133E0
3.645817084E2,-1.808688812E0,5.226381683E0,1.016356476E1
3.645917484E2,-1.088237000E0,3.565285950E0,1.017089951E1
3.646017884E2,2.544708252E-3,3.044818268E0,8.967701569E0
3.646118284E2,5.245092773E-1,4.539460144E0,8.162975006E0
3.646218684E2,5.333409119E-1,5.423372040E0,8.500822449E0
3.646319084E2,-1.995350647E-1,4.232747955E0,8.509803772E0
3.646419484E2,-5.152285767E-1,1.636397095E0,9.241033173E0
3.646519884E2,2.074685669E-1,4.848417664E-1,1.011042526E1
3.646620294E2,1.790277100E-1,1.698667603E0,1.327065353E1
3.646720694E2,-7.140151978E-1,4.047133942E0,1.290211990E1
3.646821094E2,-1.094673615E0,4.143982544E0,1.071411987E1
3.646921494E2,-1.122964783E0,2.998265076E0,9.048084412E0
3.647021894E2,-1.327738953E-1,3.565435638E0,6.450236664E0
3.647122294E2,1.773362274E0,3.844754791E0,6.935976563E0
3.647222694E2,1.261127472E0,3.456611938E0,8.559799805E0
3.647323094E2,-8.619076538E-1,1.502276001E0,1.083297272E1
3.647423494E2,-1.898052979E0,9.877958679E-1,1.171299271E1
3.647523894E2,-8.259823608E-1,3.084785156E0,1.131482071E1
3.647624294E2,1.331032104E0,5.673501892E0,6.501430206E0
3.647724694E2,2.343825989E0,3.681594086E0,6.354884949E0
3.647825094E2,8.997789001E-1,2.089804230E0,7.132817230E0
3.647925504E2,-3.095562744E-1,2.465073853E0,9.408235474E0
3.648025904E2,-6.391708374E-1,5.213957520E0,1.021670425E1
3.648126304E2,-4.273612976E-1,6.026467896E0,1.085213287E1
3.648226704E2,4.715194702E-1,4.552932129E0,8.703500977E0
3.648327104E2,-1.362167358E-2,2.527643738E0,9.438023529E0
3.648427504E2,-3.091072083E-1,1.747615814E0,1.100915634E1
3.648527904E2,-1.691482544E-1,3.851640472E0,7.641908569E0
3.648628304E2,-7.577243042E-1,4.561913452E0,1.055889267E1
3.648728704E2,-2.665956116E-1,3.552712097E0,1.078716797E1
3.648829104E2,4.113446045E-1,1.444047089E0,1.031325348E1
3.648929504E2,-2.466870117E-1,2.249821472E0,9.774673462E0
3.649029904E2,5.254074097E-2,3.795058136E0,9.479936371E0
3.649130314E2,-3.215313721E-1,4.677473145E0,9.038055267E0
3.649230714E2,-1.425635376E0,3.360212402E0,9.029523010E0
3.649331114E2,-9.020242310E-1,2.002535706E0,9.233099670E0
3.649431514E2,-7.933502197E-2,2.902913361E0,9.598489838E0
3.649531914E2,2.040257263E-1,5.007836151E0,7.866890717E0
3.649632314E2,-2.245330811E-1,5.099894714E0,8.474028168E0
3.649732714E2,-1.298250275E0,3.360062714E0,8.622519379E0
3.649833114E2,-9.370513916E-1,2.661166077E0,8.466693420E0
3.649933514E2,1.248403931E-1,2.761307831E0,8.132588196E0
3.650033914E2,-2.414479065E-1,3.368445282E0,9.167685699E0
3.650134314E2,-6.328839111E-1,2.618055725E0,1.004950195E1
3.650234724E2,-1.190175018E0,3.044818268E0,1.018721558E1
3.650335124E2,-6.391708374E-1,4.557422791E0,1.022254211E1
