"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.097751386E2,4.816457488E1,1.155926328E1,5.135020042E2,5.800893307E0,7.948313677E1,6.000906205E0,6.000906205E0
1.107751374E2,4.816457947E1,1.155935509E1,5.135566393E2,5.744221687E0,8.006289005E1,8.001208274E0,8.001208274E0
1.117751353E2,4.816458518E1,1.155943366E1,5.136523554E2,5.744221687E0,7.983889400E1,8.001208274E0,8.001208274E0
1.127751334E2,4.816459283E1,1.155950994E1,5.137714058E2,5.599583626E0,7.435375349E1,8.001208274E0,8.001208274E0
1.137751318E2,4.816459758E1,1.155958209E1,5.138676309E2,5.457711220E0,7.402509845E1,8.001208274E0,8.001208274E0
1.147751309E2,4.816459114E1,1.155964845E1,5.139357007E2,5.457711220E0,7.689138734E1,8.001208274E0,8.001208274E0
1.157751291E2,4.816460452E1,1.155970379E1,5.139711820E2,5.062690258E0,7.808081697E1,6.000906205E0,6.000906205E0
1.167751274E2,4.816460062E1,1.155977129E1,5.140088976E2,4.995151997E0,8.178902229E1,6.000906205E0,6.000906205E0
1.177751256E2,4.816459548E1,1.155981835E1,5.140292585E2,4.279999733E0,8.500203890E1,6.000906205E0,6.000906205E0
1.187751237E2,4.816459455E1,1.155987827E1,5.140354145E2,4.642266750E0,8.885957948E1,8.001208274E0,8.001208274E0
1.197751229E2,4.816459188E1,1.155995557E1,5.140375132E2,4.642266750E0,7.955300277E1,8.001208274E0,8.001208274E0
1.207751209E2,4.816459068E1,1.156001864E1,5.140353610E2,3.802820444E0,7.713573052E1,6.000906205E0,6.000906205E0
1.217751187E2,4.816459179E1,1.156006860E1,5.140322345E2,3.802820444E0,7.604737403E1,6.000906205E0,6.000906205E0
1.227751174E2,4.816459596E1,1.156012701E1,5.140314274E2,3.988642693E0,7.497917343E1,6.000906205E0,6.000906205E0
1.237751164E2,4.816459589E1,1.156018106E1,5.140361258E2,3.848965168E0,7.348293170E1,6.000906205E0,6.000906205E0
1.247751149E2,4.816460276E1,1.156023267E1,5.140395070E2,3.882974148E0,7.226211734E1,6.000906205E0,6.000906205E0
1.257751129E2,4.816462172E1,1.156029239E1,5.140500074E2,3.848965168E0,7.312541227E1,6.000906205E0,6.000906205E0
1.267751117E2,4.816465699E1,1.156035610E1,5.140691300E2,3.882974148E0,6.025746565E1,6.000906205E0,6.000906205E0
1.277751100E2,4.816469798E1,1.156041005E1,5.140636814E2,4.334181309E0,6.041997634E1,6.000906205E0,6.000906205E0
1.287751087E2,4.816471337E1,1.156045503E1,5.140344073E2,3.322430134E0,6.993005853E1,6.000906205E0,6.000906205E0
1.297751075E2,4.816471451E1,1.156049242E1,5.139703959E2,3.322430134E0,8.454970962E1,6.000906205E0,6.000906205E0
1.307751054E2,4.816470922E1,1.156054573E1,5.138821466E2,3.248525858E0,8.273735991E1,6.000906205E0,6.000906205E0
1.317751043E2,4.816470345E1,1.156060116E1,5.137588991E2,3.248525858E0,8.604380667E1,6.000906205E0,6.000906205E0
1.327751031E2,4.816470051E1,1.156065858E1,5.136637374E2,3.483084440E0,8.941658824E1,8.001208274E0,8.001208274E0
1.337751008E2,4.816469065E1,1.156073201E1,5.136024757E2,3.455423117E0,8.901947421E1,8.001208274E0,8.001208274E0
1.347751002E2,4.816468619E1,1.156078886E1,5.135639947E2,3.455423117E0,9.103732382E1,8.001208274E0,8.001208274E0
1.357750993E2,4.816467350E1,1.156083043E1,5.135399867E2,3.360177994E0,9.034430551E1,8.001208274E0,8.001208274E0
1.367750969E2,4.816466212E1,1.156088133E1,5.135250066E2,3.360177994E0,8.948625617E1,8.001208274E0,8.001208274E0
1.377750958E2,4.816464609E1,1.156092628E1,5.135613565E2,3.403376341E0,8.906074904E1,8.001208274E0,8.001208274E0
1.387750950E2,4.816464833E1,1.156098013E1,5.136249768E2,3.586105585E0,8.973954007E1,8.001208274E0,8.001208274E0
1.397750933E2,4.816465049E1,1.156101928E1,5.137178013E2,4.024156570E0,8.965295376E1,8.001208274E0,8.001208274E0
1.407750915E2,4.816465026E1,1.156107767E1,5.138177758E2,4.024156570E0,9.003862722E1,6.000906205E0,6.000906205E0
1.417750899E2,4.816464262E1,1.156113245E1,5.139368675E2,4.171066284E0,9.126323916E1,6.000906205E0,6.000906205E0
1.427750880E2,4.816464434E1,1.156118078E1,5.140451817E2,4.229413509E0,9.005624911E1,6.000906205E0,6.000906205E0
1.437750871E2,4.816463897E1,1.156125347E1,5.141346753E2,4.145686150E0,8.849232704E1,6.000906205E0,6.000906205E0
1.447750857E2,4.816463892E1,1.156132890E1,5.142143216E2,4.315282345E0,8.861704629E1,8.001208274E0,8.001208274E0
1.457750838E2,4.816463736E1,1.156140229E1,5.142939721E2,4.315282345E0,8.851203896E1,8.001208274E0,8.001208274E0
1.467750826E2,4.816463345E1,1.156147946E1,5.143685692E2,4.384073257E0,8.957349817E1,8.001208274E0,8.001208274E0
1.477750812E2,4.816463306E1,1.156156579E1,5.144176122E2,4.456007004E0,8.759048935E1,8.001208274E0,8.001208274E0
1.487750789E2,4.816461218E1,1.156163876E1,5.144485540E2,4.948264599E0,8.734607786E1,6.000906205E0,6.000906205E0
1.497750782E2,4.816460548E1,1.156171005E1,5.144678531E2,5.130051136E0,9.160022703E1,8.001208274E0,8.001208274E0
1.507750766E2,4.816460048E1,1.156178435E1,5.144799453E2,5.130051136E0,9.191399909E1,8.001208274E0,8.001208274E0
1.517750757E2,4.816459747E1,1.156185488E1,5.144874717E2,5.359752178E0,9.360379473E1,8.001208274E0,8.001208274E0
1.527750733E2,4.816459054E1,1.156192108E1,5.144921794E2,5.529079437E0,9.529731964E1,6.000906205E0,6.000906205E0
1.537750726E2,4.816458330E1,1.156199819E1,5.144951221E2,5.404345036E0,9.554341136E1,6.000906205E0,6.000906205E0
1.547750711E2,4.816458205E1,1.156207754E1,5.145296388E2,5.404345036E0,9.519773548E1,8.001208274E0,8.001208274E0
