"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.136906316E2,4.816719776E1,1.155409023E1,5.155365869E2,4.463893890E0,3.353252686E1,6.000906205E0,6.000906205E0
1.146906259E2,4.816723655E1,1.155414278E1,5.155228539E2,3.735666037E0,3.498823483E1,6.000906205E0,6.000906205E0
1.156906201E2,4.816726904E1,1.155417699E1,5.154998375E2,4.010367393E0,3.787882553E1,6.000906205E0,6.000906205E0
1.166906145E2,4.816729933E1,1.155420716E1,5.154206316E2,4.010367393E0,3.995462589E1,6.000906205E0,6.000906205E0
1.176906090E2,4.816733059E1,1.155425147E1,5.152775242E2,4.235772610E0,3.992008562E1,6.000906205E0,6.000906205E0
1.186906036E2,4.816736283E1,1.155427045E1,5.150861139E2,4.235772610E0,4.084815124E1,6.000906205E0,6.000906205E0
1.196905977E2,4.816739399E1,1.155431040E1,5.149182729E2,3.819771051E0,4.229800574E1,6.000906205E0,6.000906205E0
1.206905924E2,4.816742288E1,1.155435918E1,5.147619624E2,3.931848526E0,4.431224560E1,6.000906205E0,6.000906205E0
1.216905876E2,4.816744839E1,1.155438672E1,5.146274593E2,3.859407187E0,4.788698220E1,8.001208274E0,8.001208274E0
1.226905820E2,4.816748508E1,1.155442851E1,5.145393019E2,3.931848526E0,4.621824404E1,6.000906205E0,6.000906205E0
1.236905756E2,4.816750222E1,1.155446804E1,5.145044486E2,4.287100315E0,4.996544291E1,6.000906205E0,6.000906205E0
1.246905706E2,4.816751654E1,1.155451867E1,5.145007985E2,3.955452681E0,5.124123004E1,6.000906205E0,6.000906205E0
1.256905649E2,4.816754985E1,1.155455292E1,5.145002687E2,3.955452681E0,4.305598940E1,6.000906205E0,6.000906205E0
1.266905594E2,4.816757480E1,1.155456000E1,5.145001608E2,3.716976881E0,7.361917689E0,6.000906205E0,6.000906205E0
1.276905545E2,4.816760360E1,1.155452212E1,5.145000950E2,3.176806450E0,3.128407503E2,6.000906205E0,6.000906205E0
1.286905481E2,4.816762329E1,1.155447884E1,5.145000885E2,2.891664982E0,2.986938986E2,6.000906205E0,6.000906205E0
1.296905425E2,4.816764481E1,1.155443559E1,5.145000329E2,2.820283651E0,3.164126387E2,6.000906205E0,6.000906205E0
1.306905370E2,4.816766839E1,1.155440251E1,5.145056303E2,2.820283651E0,3.240883780E2,6.000906205E0,6.000906205E0
1.316905313E2,4.816770602E1,1.155438600E1,5.145350292E2,2.820283651E0,3.415788532E2,6.000906205E0,6.000906205E0
